id,county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date
143,Lake,724.0,18.0,4,1,2020-10-31T00:00:00
144,Unassigned,4.0,0.0,2,0,2020-10-31T00:00:00
145,Lassen,782.0,1.0,5,0,2020-10-31T00:00:00
146,Santa Cruz,2895.0,26.0,21,0,2020-10-31T00:00:00
147,Modoc,34.0,0.0,0,0,2020-10-31T00:00:00
148,Plumas,85.0,0.0,5,0,2020-10-31T00:00:00
149,San Bernardino,64016.0,1078.0,504,4,2020-10-31T00:00:00
150,Alpine,4.0,0.0,0,0,2020-10-31T00:00:00
151,Tulare,17758.0,293.0,76,0,2020-10-31T00:00:00
152,Kern,33666.0,424.0,83,1,2020-10-31T00:00:00
153,Del Norte,175.0,1.0,0,0,2020-10-31T00:00:00
154,San Luis Obispo,4285.0,32.0,29,0,2020-10-31T00:00:00
155,Butte,3172.0,53.0,12,0,2020-10-31T00:00:00
156,San Francisco,12438.0,148.0,54,1,2020-10-31T00:00:00
157,Alameda,23780.0,464.0,104,1,2020-10-31T00:00:00
158,Amador,347.0,16.0,3,0,2020-10-31T00:00:00
159,Out Of Country,0.0,0.0,0,0,2020-10-31T00:00:00
160,Mariposa,79.0,2.0,1,0,2020-10-31T00:00:00
161,Los Angeles,304704.0,7071.0,1279,15,2020-10-31T00:00:00
162,Shasta,2122.0,31.0,74,0,2020-10-31T00:00:00
163,Siskiyou,200.0,0.0,8,0,2020-10-31T00:00:00
164,Napa,2040.0,16.0,12,0,2020-10-31T00:00:00
165,Tehama,953.0,14.0,21,5,2020-10-31T00:00:00
166,Colusa,555.0,6.0,1,0,2020-10-31T00:00:00
167,Sonoma,9648.0,136.0,46,0,2020-10-31T00:00:00
168,Kings,8612.0,83.0,48,0,2020-10-31T00:00:00
169,Humboldt,561.0,10.0,0,0,2020-10-31T00:00:00
170,Yolo,3290.0,60.0,27,0,2020-10-31T00:00:00
171,Marin,7112.0,127.0,15,0,2020-10-31T00:00:00
172,Mono,194.0,2.0,1,0,2020-10-31T00:00:00
173,Inyo,241.0,15.0,0,0,2020-10-31T00:00:00
174,San Mateo,11253.0,161.0,46,0,2020-10-31T00:00:00
175,Santa Clara,24957.0,406.0,146,0,2020-10-31T00:00:00
176,Imperial,12912.0,338.0,59,0,2020-10-31T00:00:00
177,Riverside,68178.0,1319.0,426,0,2020-10-31T00:00:00
