county_id,county_name,confirmed_cases,new_confirmed_cases,deaths,new_deaths,date
9,Calaveras,330,0,16,0,2020-10-12
11,Colusa,543,0,6,0,2020-10-12
13,Contra Costa,17783,51,230,0,2020-10-12
15,Del Norte,170,1,1,0,2020-10-12
17,El Dorado,1259,20,4,0,2020-10-12
19,Fresno,29419,211,406,0,2020-10-12
21,Glenn,630,4,3,0,2020-10-12
23,Humboldt,533,4,8,0,2020-10-12
25,Imperial,12220,75,330,1,2020-10-12
27,Inyo,205,3,15,0,2020-10-12
29,Kern,33020,54,395,0,2020-10-12
31,Kings,8092,23,82,0,2020-10-12
33,Lake,630,2,13,0,2020-10-12
35,Lassen,748,-1,1,0,2020-10-12
37,Los Angeles,283023,888,6773,2,2020-10-12
39,Madera,4786,38,71,0,2020-10-12
41,Marin,6920,18,124,0,2020-10-12
43,Mariposa,77,0,2,0,2020-10-12
45,Mendocino,1050,5,21,0,2020-10-12
47,Merced,9149,0,150,0,2020-10-12
49,Modoc,27,-1,0,0,2020-10-12
51,Mono,173,0,2,0,2020-10-12
53,Monterey,10684,25,80,0,2020-10-12
55,Napa,1817,24,13,1,2020-10-12
57,Nevada,562,0,8,0,2020-10-12
59,Orange,55892,117,1341,0,2020-10-12
61,Placer,3750,0,51,0,2020-10-12
63,Plumas,52,0,0,0,2020-10-12
65,Riverside,61824,0,1256,0,2020-10-12
67,Sacramento,23850,201,458,8,2020-10-12
69,San Benito,1386,3,13,0,2020-10-12
71,San Bernardino,58125,151,986,0,2020-10-12
73,San Diego,50746,195,826,0,2020-10-12
75,San Francisco,11666,29,123,0,2020-10-12
77,San Joaquin,20828,0,473,0,2020-10-12
79,San Luis Obispo,3842,0,31,0,2020-10-12
81,San Mateo,10510,0,155,0,2020-10-12
83,Santa Barbara,9475,67,116,0,2020-10-12
85,Santa Clara,22644,89,362,5,2020-10-12
87,Santa Cruz,2605,10,20,0,2020-10-12
89,Shasta,1343,0,24,0,2020-10-12
91,Sierra,6,0,0,0,2020-10-12
93,Siskiyou,182,3,0,0,2020-10-12
95,Solano,6750,0,74,0,2020-10-12
97,Sonoma,8500,78,128,0,2020-10-12
99,Stanislaus,17076,38,386,1,2020-10-12
101,Sutter,1782,7,12,0,2020-10-12
103,Tehama,680,0,8,0,2020-10-12
105,Trinity,20,0,0,0,2020-10-12
107,Tulare,16890,96,269,0,2020-10-12
109,Tuolumne,240,3,4,0,2020-10-12
111,Ventura,13423,160,158,0,2020-10-12
113,Yolo,2966,12,56,0,2020-10-12
115,Yuba,1236,9,10,0,2020-10-12
1,Alameda,22149,77,431,0,2020-10-11
3,Alpine,3,0,0,0,2020-10-11
5,Amador,267,0,15,0,2020-10-11
7,Butte,2914,0,48,0,2020-10-11
9,Calaveras,330,0,16,0,2020-10-11
11,Colusa,543,0,6,0,2020-10-11
13,Contra Costa,17732,108,230,0,2020-10-11
15,Del Norte,169,0,1,0,2020-10-11
17,El Dorado,1239,0,4,0,2020-10-11
19,Fresno,29208,0,406,0,2020-10-11
21,Glenn,626,0,3,0,2020-10-11
23,Humboldt,529,0,8,0,2020-10-11
25,Imperial,12145,0,329,0,2020-10-11
27,Inyo,202,0,15,0,2020-10-11
29,Kern,32966,88,395,1,2020-10-11
31,Kings,8069,0,82,0,2020-10-11
33,Lake,628,0,13,0,2020-10-11
35,Lassen,749,1,1,0,2020-10-11
37,Los Angeles,282135,929,6771,2,2020-10-11
39,Madera,4748,0,71,0,2020-10-11
41,Marin,6902,25,124,0,2020-10-11
43,Mariposa,77,0,2,0,2020-10-11
45,Mendocino,1045,3,21,0,2020-10-11
47,Merced,9149,0,150,0,2020-10-11
49,Modoc,28,0,0,0,2020-10-11
51,Mono,173,1,2,0,2020-10-11
53,Monterey,10659,33,80,2,2020-10-11
55,Napa,1793,0,12,0,2020-10-11
57,Nevada,562,0,8,0,2020-10-11
59,Orange,55775,244,1341,1,2020-10-11
61,Placer,3750,0,51,0,2020-10-11
63,Plumas,52,0,0,0,2020-10-11
65,Riverside,61824,0,1256,0,2020-10-11
67,Sacramento,23649,0,450,0,2020-10-11
69,San Benito,1383,2,13,0,2020-10-11
71,San Bernardino,57974,140,986,0,2020-10-11
73,San Diego,50551,408,826,1,2020-10-11
75,San Francisco,11637,28,123,0,2020-10-11
77,San Joaquin,20828,0,473,0,2020-10-11
79,San Luis Obispo,3842,0,31,0,2020-10-11
81,San Mateo,10510,0,155,0,2020-10-11
83,Santa Barbara,9408,0,116,0,2020-10-11
85,Santa Clara,22555,136,357,0,2020-10-11
87,Santa Cruz,2595,6,20,0,2020-10-11
89,Shasta,1343,0,24,0,2020-10-11
91,Sierra,6,0,0,0,2020-10-11
93,Siskiyou,179,0,0,0,2020-10-11
95,Solano,6750,0,74,0,2020-10-11
97,Sonoma,8422,70,128,2,2020-10-11
99,Stanislaus,17038,36,385,1,2020-10-11
101,Sutter,1775,0,12,0,2020-10-11
103,Tehama,680,0,8,0,2020-10-11
105,Trinity,20,0,0,0,2020-10-11
107,Tulare,16794,0,269,0,2020-10-11
109,Tuolumne,237,0,4,0,2020-10-11
111,Ventura,13263,0,158,0,2020-10-11
113,Yolo,2954,12,56,0,2020-10-11
115,Yuba,1227,0,10,0,2020-10-11
1,Alameda,22072,130,431,0,2020-10-10
3,Alpine,3,0,0,0,2020-10-10
5,Amador,267,0,15,0,2020-10-10
7,Butte,2914,0,48,0,2020-10-10
9,Calaveras,330,0,16,0,2020-10-10
11,Colusa,543,0,6,0,2020-10-10
13,Contra Costa,17624,78,230,2,2020-10-10
15,Del Norte,169,0,1,0,2020-10-10
17,El Dorado,1239,0,4,0,2020-10-10
19,Fresno,29208,97,406,0,2020-10-10
21,Glenn,626,0,3,0,2020-10-10
23,Humboldt,529,0,8,0,2020-10-10
25,Imperial,12145,0,329,0,2020-10-10
27,Inyo,202,0,15,0,2020-10-10
29,Kern,32878,47,394,2,2020-10-10
31,Kings,8069,94,82,0,2020-10-10
33,Lake,628,0,13,0,2020-10-10
35,Lassen,748,0,1,0,2020-10-10
37,Los Angeles,281206,1217,6769,28,2020-10-10
39,Madera,4748,0,71,0,2020-10-10
41,Marin,6877,6,124,0,2020-10-10
43,Mariposa,77,0,2,0,2020-10-10
45,Mendocino,1042,7,21,0,2020-10-10
47,Merced,9149,0,150,0,2020-10-10
49,Modoc,28,0,0,0,2020-10-10
51,Mono,172,0,2,0,2020-10-10
53,Monterey,10626,39,78,0,2020-10-10
55,Napa,1793,0,12,0,2020-10-10
57,Nevada,562,0,8,0,2020-10-10
59,Orange,55531,186,1340,24,2020-10-10
61,Placer,3750,0,51,0,2020-10-10
63,Plumas,52,0,0,0,2020-10-10
65,Riverside,61824,0,1256,0,2020-10-10
67,Sacramento,23649,0,450,0,2020-10-10
69,San Benito,1381,4,13,0,2020-10-10
71,San Bernardino,57834,317,986,2,2020-10-10
73,San Diego,50143,320,825,4,2020-10-10
75,San Francisco,11609,33,123,2,2020-10-10
77,San Joaquin,20828,0,473,0,2020-10-10
79,San Luis Obispo,3842,0,31,0,2020-10-10
81,San Mateo,10510,58,155,0,2020-10-10
83,Santa Barbara,9408,0,116,0,2020-10-10
85,Santa Clara,22419,107,357,0,2020-10-10
87,Santa Cruz,2589,26,20,0,2020-10-10
89,Shasta,1343,0,24,0,2020-10-10
91,Sierra,6,0,0,0,2020-10-10
93,Siskiyou,179,0,0,0,2020-10-10
95,Solano,6750,0,74,0,2020-10-10
97,Sonoma,8352,82,126,0,2020-10-10
99,Stanislaus,17002,116,384,3,2020-10-10
101,Sutter,1775,0,12,0,2020-10-10
103,Tehama,680,3,8,0,2020-10-10
105,Trinity,20,0,0,0,2020-10-10
107,Tulare,16794,0,269,0,2020-10-10
109,Tuolumne,237,0,4,0,2020-10-10
111,Ventura,13263,0,158,0,2020-10-10
113,Yolo,2942,13,56,0,2020-10-10
115,Yuba,1227,0,10,0,2020-10-10
1,Alameda,21942,4,431,0,2020-10-09
3,Alpine,3,0,0,0,2020-10-09
5,Amador,267,1,15,0,2020-10-09
7,Butte,2914,7,48,3,2020-10-09
9,Calaveras,330,1,16,2,2020-10-09
11,Colusa,543,2,6,0,2020-10-09
13,Contra Costa,17546,68,228,1,2020-10-09
15,Del Norte,169,2,1,0,2020-10-09
17,El Dorado,1239,7,4,0,2020-10-09
19,Fresno,29111,42,406,0,2020-10-09
21,Glenn,626,3,3,0,2020-10-09
23,Humboldt,529,1,8,0,2020-10-09
25,Imperial,12145,0,329,0,2020-10-09
27,Inyo,202,1,15,0,2020-10-09
29,Kern,32831,90,392,5,2020-10-09
31,Kings,7975,19,82,0,2020-10-09
33,Lake,628,28,13,1,2020-10-09
35,Lassen,748,0,1,1,2020-10-09
37,Los Angeles,279989,1256,6741,14,2020-10-09
39,Madera,4748,9,71,1,2020-10-09
41,Marin,6871,17,124,0,2020-10-09
43,Mariposa,77,0,2,0,2020-10-09
45,Mendocino,1035,5,21,0,2020-10-09
47,Merced,9149,19,150,0,2020-10-09
49,Modoc,28,0,0,0,2020-10-09
51,Mono,172,2,2,0,2020-10-09
53,Monterey,10587,27,78,0,2020-10-09
55,Napa,1793,16,12,0,2020-10-09
57,Nevada,562,5,8,0,2020-10-09
59,Orange,55345,162,1316,10,2020-10-09
61,Placer,3750,20,51,0,2020-10-09
63,Plumas,52,0,0,0,2020-10-09
65,Riverside,61824,408,1256,8,2020-10-09
67,Sacramento,23649,126,450,3,2020-10-09
69,San Benito,1377,3,13,0,2020-10-09
71,San Bernardino,57517,314,984,10,2020-10-09
73,San Diego,49823,357,821,2,2020-10-09
75,San Francisco,11576,27,121,6,2020-10-09
77,San Joaquin,20828,0,473,0,2020-10-09
79,San Luis Obispo,3842,27,31,0,2020-10-09
81,San Mateo,10452,57,155,1,2020-10-09
83,Santa Barbara,9408,21,116,1,2020-10-09
85,Santa Clara,22312,158,357,3,2020-10-09
87,Santa Cruz,2563,11,20,1,2020-10-09
89,Shasta,1343,76,24,0,2020-10-09
91,Sierra,6,0,0,0,2020-10-09
93,Siskiyou,179,6,0,0,2020-10-09
95,Solano,6750,42,74,0,2020-10-09
97,Sonoma,8270,115,126,0,2020-10-09
99,Stanislaus,16886,0,381,0,2020-10-09
101,Sutter,1775,4,12,0,2020-10-09
103,Tehama,677,12,8,1,2020-10-09
105,Trinity,20,1,0,0,2020-10-09
107,Tulare,16794,76,269,0,2020-10-09
109,Tuolumne,237,2,4,0,2020-10-09
111,Ventura,13263,39,158,1,2020-10-09
113,Yolo,2929,11,56,0,2020-10-09
115,Yuba,1227,5,10,0,2020-10-09
1,Alameda,21938,93,431,0,2020-10-08
3,Alpine,3,0,0,0,2020-10-08
5,Amador,266,1,15,0,2020-10-08
7,Butte,2907,21,45,0,2020-10-08
9,Calaveras,329,0,14,0,2020-10-08
11,Colusa,541,0,6,0,2020-10-08
13,Contra Costa,17478,58,227,3,2020-10-08
15,Del Norte,167,7,1,0,2020-10-08
17,El Dorado,1232,3,4,0,2020-10-08
19,Fresno,29069,47,406,0,2020-10-08
21,Glenn,623,2,3,0,2020-10-08
23,Humboldt,528,1,8,0,2020-10-08
25,Imperial,12145,25,329,2,2020-10-08
27,Inyo,201,2,15,0,2020-10-08
29,Kern,32741,67,387,0,2020-10-08
31,Kings,7956,18,82,0,2020-10-08
33,Lake,600,3,12,0,2020-10-08
35,Lassen,748,0,0,0,2020-10-08
37,Los Angeles,278733,1246,6727,18,2020-10-08
39,Madera,4739,19,70,0,2020-10-08
41,Marin,6854,26,124,0,2020-10-08
43,Mariposa,77,0,2,0,2020-10-08
45,Mendocino,1030,5,21,0,2020-10-08
47,Merced,9130,19,150,1,2020-10-08
49,Modoc,28,0,0,0,2020-10-08
51,Mono,170,1,2,0,2020-10-08
53,Monterey,10560,85,78,0,2020-10-08
55,Napa,1777,7,12,0,2020-10-08
57,Nevada,557,3,8,1,2020-10-08
59,Orange,55183,141,1306,14,2020-10-08
61,Placer,3730,20,51,0,2020-10-08
63,Plumas,52,0,0,0,2020-10-08
65,Riverside,61416,283,1248,1,2020-10-08
67,Sacramento,23523,103,447,2,2020-10-08
69,San Benito,1374,2,13,0,2020-10-08
71,San Bernardino,57203,380,974,7,2020-10-08
73,San Diego,49466,291,819,6,2020-10-08
75,San Francisco,11549,16,115,1,2020-10-08
77,San Joaquin,20828,49,473,0,2020-10-08
79,San Luis Obispo,3815,36,31,0,2020-10-08
81,San Mateo,10395,48,154,0,2020-10-08
83,Santa Barbara,9387,24,115,0,2020-10-08
85,Santa Clara,22154,98,354,1,2020-10-08
87,Santa Cruz,2552,17,19,1,2020-10-08
89,Shasta,1267,25,24,2,2020-10-08
91,Sierra,6,0,0,0,2020-10-08
93,Siskiyou,173,1,0,0,2020-10-08
95,Solano,6708,50,74,0,2020-10-08
97,Sonoma,8155,72,126,0,2020-10-08
99,Stanislaus,16886,82,381,2,2020-10-08
101,Sutter,1771,1,12,0,2020-10-08
103,Tehama,665,5,7,0,2020-10-08
105,Trinity,19,0,0,0,2020-10-08
107,Tulare,16718,84,269,2,2020-10-08
109,Tuolumne,235,1,4,0,2020-10-08
111,Ventura,13224,77,157,0,2020-10-08
113,Yolo,2918,9,56,0,2020-10-08
115,Yuba,1222,5,10,0,2020-10-08
1,Alameda,21845,38,431,4,2020-10-07
3,Alpine,3,0,0,0,2020-10-07
5,Amador,265,1,15,0,2020-10-07
7,Butte,2886,6,45,0,2020-10-07
9,Calaveras,329,0,14,0,2020-10-07
11,Colusa,541,1,6,0,2020-10-07
13,Contra Costa,17420,55,224,6,2020-10-07
15,Del Norte,160,5,1,0,2020-10-07
17,El Dorado,1229,13,4,0,2020-10-07
19,Fresno,29022,0,406,0,2020-10-07
21,Glenn,621,3,3,0,2020-10-07
23,Humboldt,527,3,8,0,2020-10-07
25,Imperial,12120,11,327,1,2020-10-07
27,Inyo,199,0,15,0,2020-10-07
29,Kern,32674,65,387,0,2020-10-07
31,Kings,7938,5,82,0,2020-10-07
33,Lake,597,2,12,0,2020-10-07
